,precision,recall,f1-score,support
0,0.75,0.9230769230769231,0.8275862068965517,26.0
1,0.9574468085106383,0.8490566037735849,0.9,53.0
accuracy,0.8734177215189873,0.8734177215189873,0.8734177215189873,0.8734177215189873
macro avg,0.8537234042553192,0.886066763425254,0.8637931034482759,79.0
weighted avg,0.8891731753299219,0.8734177215189873,0.8761676123963336,79.0
