,accuracy,balanced_accuracy,roc_auc
baseline,0.5063291139240507,0.5007982583454281,0.4815820029027576
adapted_model,0.369620253164557,0.49687953555878084,0.43532656023222066
label_shift_corrected,0.6708860759493671,0.5,0.43532656023222066
dann,0.3291139240506329,0.5,0.5698984034833091
