,variable,mutual_info,chi2_stat,chi2_pvalue,cramers_v,unique_values
13,nursery,0.06184971438183462,0.5160707828229161,0.7725678893550301,0.0,2
9,schoolsup,0.041404677904433695,11.855362956276679,0.0026646528883045783,0.15811669426574532,2
16,romantic,0.04084285770113816,4.193074225635154,0.12288121612052533,0.07452067096887097,2
12,activities,0.011891552850122888,1.4810494946934605,0.4768636169372791,0.0,2
7,reason,0.008826050298130994,9.309703524266608,0.15689507212677864,0.06474178159356858,4
2,address,0.008620656408301564,6.92288748194159,0.03138441832339071,0.11172213332689204,2
4,Pstatus,0.0077679020664431775,0.46255760093953635,0.7935182019449379,0.0,2
3,famsize,0.004918544473487607,2.109323835936927,0.3483101648107328,0.01626621528746236,2
0,school,0.0,3.0359957489172515,0.21915021425400738,0.051152361438532024,2
8,guardian,0.0,5.052667504287275,0.28193604683384643,0.036419395570296276,3
6,Fjob,0.0,17.708413081169013,0.023522010282602458,0.1110225067711674,5
5,Mjob,0.0,19.258145173298747,0.013538408907020433,0.11957295599485072,5
1,sex,0.0,5.885562885650974,0.05271889004282223,0.09924220156320313,2
11,paid,0.0,10.33436396584808,0.005700610623645066,0.14539759491956755,2
10,famsup,0.0,1.0771833997704081,0.583569514961068,0.0,2
14,higher,0.0,8.635724627527907,0.013328344930353736,0.1297272734614071,2
15,internet,0.0,5.2003173550086705,0.07426179360330587,0.0900544363872121,2
